userid	age	gender	job	zipcode
391	23	1	5	358
392	52	1	2	359
393	19	1	5	360
394	25	1	4	361
395	43	1	1	362
396	57	1	14	363
397	17	1	5	38
398	40	1	1	364
399	25	1	1	365
400	33	0	4	366
401	46	0	17	367
402	30	1	14	368
403	37	1	1	369
404	29	0	10	97
405	22	0	17	370
406	52	1	7	371
407	29	1	14	372
408	23	1	5	373
409	48	1	4	374
410	30	0	13	375
411	34	1	7	376
412	25	1	7	377
413	55	1	7	378
414	24	1	10	379
415	39	1	7	0
416	20	0	5	380
417	27	0	1	142
418	55	0	16	381
419	37	1	6	382
420	53	1	7	383
421	38	0	10	35
422	26	1	9	23
423	64	1	1	384
424	36	0	15	385
425	19	1	5	386
426	55	1	7	387
427	51	1	20	388
428	28	1	5	50
429	27	1	5	389
430	38	1	8	390
431	24	1	15	265
432	22	1	9	391
433	27	1	13	392
434	16	0	5	393
435	24	1	14	394
436	30	0	4	395
437	27	0	1	120
438	51	0	4	396
439	23	0	4	397
440	30	1	1	398
441	50	1	0	399
442	22	1	5	400
443	35	1	19	401
444	51	0	6	402
445	21	1	2	403
446	57	1	7	190
447	30	1	4	157
448	23	1	9	404
449	23	1	11	405
450	35	0	7	406
451	16	1	5	407
452	35	1	4	408
453	18	1	5	409
454	57	1	1	410
455	48	1	4	411
456	24	1	0	412
457	33	0	19	413
458	47	1	0	414
459	22	1	5	415
460	44	0	1	416
461	15	1	5	417
462	19	0	5	418
463	48	0	17	419
464	60	1	2	420
465	32	1	1	421
466	22	1	5	422
467	29	1	14	423
468	28	1	14	424
469	60	1	7	425
470	24	1	10	404
471	10	1	5	426
472	24	1	5	427
473	29	1	5	428
474	51	1	3	429
475	30	1	10	430
476	28	1	5	431
477	23	0	5	432
478	29	1	1	370
479	30	1	7	433
480	57	1	18	434
481	73	1	18	435
482	18	0	5	436
483	29	1	8	206
484	27	1	5	437
485	44	0	7	438
486	39	1	7	439
487	22	1	14	440
488	48	1	0	441
489	55	1	1	352
490	29	0	13	442
491	43	0	2	443
492	57	1	7	444
493	22	1	14	445
494	38	0	4	446
495	29	1	14	447
496	21	0	5	50
497	20	1	5	448
498	26	1	2	449
499	42	1	10	450
500	28	1	4	451
501	22	1	5	452
502	22	1	5	453
503	50	0	2	38
504	40	0	2	454
505	27	0	1	455
506	46	1	10	456
507	18	0	2	457
508	27	1	15	458
509	23	1	4	459
510	34	1	1	460
511	22	1	5	461
512	29	1	1	462
513	43	1	4	463
514	27	1	10	464
515	53	1	15	465
516	53	0	11	404
517	24	1	5	287
518	49	0	2	219
519	22	1	1	466
520	62	1	17	467
521	19	1	5	468
522	36	1	14	469
523	50	0	4	470
524	56	1	7	471
525	27	0	4	472
526	30	1	15	473
527	33	1	11	474
528	18	1	5	152
529	47	0	4	475
530	29	1	14	476
531	30	0	19	477
532	20	1	5	478
533	43	1	11	479
534	20	1	5	480
535	45	0	7	481
536	38	1	14	482
537	36	1	14	78
538	31	1	8	483
539	53	0	4	484
540	28	1	14	423
541	19	0	5	485
542	21	1	5	486
543	33	1	8	487
544	44	0	1	488
545	27	1	0	489
546	36	1	3	490
547	50	1	7	491
548	51	1	2	492
549	42	1	8	493
550	16	0	5	494
551	25	1	10	50
552	45	1	1	495
553	58	1	7	496
554	32	1	8	496
555	29	0	7	497
556	35	0	7	498
557	30	0	2	146
558	56	0	2	499
559	69	1	3	328
560	32	1	5	29
561	23	1	14	500
562	54	0	4	501
563	39	0	11	502
564	65	1	18	503
565	40	1	5	385
566	20	1	5	504
567	24	1	9	29
568	39	1	7	505
569	34	1	7	506
570	26	1	7	504
571	34	1	13	507
572	51	1	7	80
573	68	1	18	508
574	56	1	7	509
575	33	1	15	510
576	48	1	3	511
577	36	0	5	512
578	31	1	4	513
579	32	1	7	142
580	16	1	5	514
581	37	1	1	515
582	17	1	5	516
583	44	1	14	517
584	25	1	5	518
585	69	1	11	519
586	20	1	5	520
587	26	1	1	521
588	18	0	5	522
589	21	1	6	523
590	50	1	7	524
591	57	0	11	525
592	18	1	5	526
593	31	0	7	143
594	46	1	7	527
595	25	1	10	528
596	20	1	13	529
597	23	1	1	530
598	40	0	15	531
599	22	0	5	532
600	34	1	10	533
601	19	0	13	534
602	47	0	1	535
603	21	1	10	536
604	39	1	7	537
605	33	1	14	538
606	28	1	10	539
607	49	0	17	184
608	22	1	1	29
609	13	0	5	13
610	22	1	5	540
611	46	1	11	541
612	36	1	7	542
613	37	0	15	543
614	54	1	7	544
615	38	1	7	545
616	55	1	8	302
617	27	0	2	546
618	15	0	5	547
619	17	1	5	548
620	18	0	2	549
621	17	1	5	63
622	25	1	10	550
623	50	0	7	551
624	19	1	5	161
625	27	1	10	552
626	23	1	8	553
627	24	1	14	554
628	13	1	16	555
629	46	0	1	475
630	26	0	17	449
631	18	0	5	556
632	18	1	5	287
633	35	1	10	50
634	39	1	14	70
635	22	1	1	557
636	47	1	7	558
637	30	1	1	559
638	45	1	14	560
639	42	0	11	561
640	20	1	5	74
641	24	1	5	562
642	18	0	5	563
643	39	1	8	564
644	51	1	18	565
645	27	1	10	130
646	17	0	5	566
647	40	1	7	567
648	43	1	14	568
649	20	1	5	569
650	42	1	14	137
651	65	1	18	570
652	35	1	1	490
653	31	1	3	35
654	27	0	5	571
655	50	0	17	572
656	48	1	7	573
657	26	0	16	574
658	33	1	10	380
659	31	1	7	575
660	26	1	5	576
661	28	1	10	577
662	55	1	11	578
663	26	1	1	579
664	30	1	14	580
665	25	1	4	581
666	44	1	4	582
667	35	1	11	583
668	29	0	2	256
669	37	1	1	120
670	30	1	0	584
671	21	1	10	585
672	54	0	4	586
673	51	1	7	587
674	13	0	5	65
675	34	1	1	588
676	30	1	10	589
677	20	1	1	590
678	50	1	7	591
679	20	0	5	592
680	33	1	6	593
681	44	0	15	594
682	23	1	10	595
683	42	1	11	596
684	28	1	5	50
685	32	0	11	433
686	32	1	7	597
687	31	0	17	598
688	37	0	4	599
689	25	1	1	600
690	35	1	19	601
691	34	1	7	602
692	34	1	14	603
693	43	0	17	604
694	60	1	10	605
695	26	1	2	379
696	55	1	1	606
697	25	1	1	607
698	28	0	10	608
699	44	1	1	609
700	17	1	5	610
701	51	0	11	611
702	37	1	1	612
703	26	1	7	169
704	51	0	11	613
705	21	0	5	614
706	23	1	5	287
707	56	0	11	615
708	26	0	12	616
709	21	1	1	617
710	19	1	5	618
711	22	0	5	619
712	22	0	5	620
713	42	0	1	621
714	26	1	14	622
715	21	1	0	623
716	36	0	4	624
717	24	1	0	625
718	42	1	0	626
719	37	0	1	627
720	49	0	4	628
721	24	0	9	629
722	50	0	12	630
723	26	1	3	631
724	31	1	3	632
725	21	1	5	290
726	25	0	4	633
727	25	1	5	30
728	58	1	3	555
729	19	1	5	634
730	31	0	8	635
731	41	0	7	636
732	28	0	1	637
733	44	0	1	416
734	25	0	1	280
735	29	0	17	638
736	48	0	2	444
737	30	1	10	639
738	35	1	0	640
739	35	1	0	641
740	25	0	7	114
741	25	1	2	280
742	35	1	5	642
743	31	1	10	643
744	35	1	15	644
745	42	1	2	157
746	25	1	14	645
747	19	1	1	646
748	28	1	4	647
749	33	1	1	648
750	28	1	4	649
751	24	0	1	523
752	60	1	18	650
753	56	1	19	623
754	59	0	11	496
755	44	0	7	651
756	30	0	16	652
757	26	1	5	152
758	27	1	5	255
759	20	0	5	653
760	35	0	1	654
761	17	1	5	655
762	32	1	4	656
763	27	1	8	657
764	27	0	7	658
765	31	1	5	659
766	42	1	1	192
767	70	1	14	176
768	29	1	4	660
769	39	1	3	661
770	28	1	5	521
771	26	1	5	662
772	50	1	2	663
773	20	1	5	50
774	30	1	5	664
775	46	1	3	665
776	30	1	11	666
777	63	1	10	333
778	34	1	5	667
779	31	1	5	668
780	49	1	10	669
781	20	1	5	670
782	21	0	13	671
783	30	1	15	672
784	47	1	4	673
785	32	1	14	674
786	36	0	14	675
787	18	0	5	676
788	51	1	4	677
789	29	1	1	678
790	27	1	0	679
791	31	1	7	680
792	40	1	10	681
793	22	1	5	682
794	32	1	7	683
795	30	1	10	684
796	32	0	2	685
797	44	0	1	686
798	40	0	2	687
799	49	0	4	688
800	25	1	10	65
801	22	1	2	689
802	35	1	4	690
803	70	1	4	378
804	39	1	7	582
805	27	0	1	120
806	27	1	15	146
807	41	0	17	185
808	45	1	19	691
809	50	0	15	692
810	55	0	1	693
811	40	0	7	694
812	22	1	0	695
813	14	0	5	696
814	30	1	1	697
815	32	1	1	698
816	34	1	1	170
817	19	1	5	699
818	28	1	11	38
819	59	1	4	700
820	22	1	5	701
821	37	1	14	512
822	29	0	11	702
823	27	1	13	703
824	31	1	1	704
825	44	1	14	705
826	28	1	13	706
827	23	0	14	707
828	28	1	11	400
829	48	1	2	708
830	46	1	10	709
831	21	1	1	710
832	24	1	0	607
833	34	1	2	711
834	26	1	1	712
835	44	0	3	713
836	44	1	13	714
837	36	0	13	433
838	23	1	5	715
839	38	0	9	716
840	39	1	13	259
841	45	1	20	717
842	40	1	2	718
843	35	1	11	547
844	22	1	14	719
845	64	1	20	720
846	27	1	6	721
847	29	1	5	722
848	46	1	14	468
849	15	0	5	723
850	34	1	0	724
851	18	1	1	725
852	46	1	4	285
853	49	1	2	726
854	29	0	5	449
855	53	1	11	727
856	43	0	15	728
857	35	0	4	729
858	63	1	7	730
859	18	0	1	731
860	70	0	18	732
861	38	0	5	733
862	25	1	3	734
863	17	1	5	602
864	27	1	10	735
865	25	1	13	202
866	45	1	1	736
867	24	1	8	737
868	21	1	10	738
869	30	1	5	452
870	22	1	5	739
871	31	1	3	740
872	19	0	5	741
873	48	0	4	742
874	36	1	8	743
875	24	0	5	744
876	41	1	1	745
877	30	1	1	746
878	50	0	7	329
879	33	0	4	65
880	13	1	5	356
881	39	1	15	747
882	35	1	14	748
883	49	1	11	749
884	44	1	14	65
885	30	0	1	750
886	20	1	5	582
887	14	0	5	751
888	41	1	8	752
889	24	1	0	574
890	32	1	5	14
891	51	0	4	753
892	36	1	1	754
893	25	1	5	755
894	47	1	7	756
895	31	0	11	191
896	28	1	2	757
897	30	1	1	758
898	23	1	12	373
899	32	1	1	341
900	60	1	18	759
901	38	1	3	760
902	45	0	13	761
903	28	1	7	762
904	17	0	5	763
905	27	1	1	764
906	45	1	11	765
907	25	0	1	693
908	44	0	11	766
909	50	0	7	767
910	28	1	17	768
911	37	0	2	769
912	51	1	1	770
913	27	1	5	771
914	44	0	1	772
915	50	1	9	773
916	27	1	14	774
917	22	0	5	775
918	40	1	8	776
919	25	1	1	521
920	30	0	13	777
921	20	0	5	778
922	29	0	4	584
923	21	1	5	779
924	29	1	1	780
925	18	0	19	781
926	49	1	9	782
927	23	1	10	783
928	21	1	5	449
929	44	1	8	443
930	28	0	8	784
931	60	1	7	785
932	58	1	7	786
933	28	1	5	787
934	61	1	14	78
935	42	1	20	788
936	24	1	1	789
937	48	1	7	639
938	38	0	0	790
939	26	0	5	791
940	32	1	4	72
941	20	1	5	792
942	48	0	11	793
943	22	1	5	794
